vlookup,,,,,,,,,,,
,,,,,,,,,,,
Name,Gender,Age,Class,Unit Test 1,Unit Test 2,Final Test,,,,Name,Final Test
Abhimanyu,M,16,10,84,79,95,,,,Abhimanyu,
Arjun,M,11,5,82,83,91,,,,Arjun,
Champa,F,15,8,81,78,88,,,,Champa,
Gopal,M,14,8,70,75,79,,,,Gopal,
Gopi,F,16,10,88,92,96,,,,Gopi,
Hari,M,16,10,82,81,80,,,,Hari,
Indu,F,14,8,90,86,89,,,,,
Keshav,M,15,9,87,89,95,,,,,
Lalita,F,17,10,70,90,92,,,,,
Hari,M,11,6,91,81,95,,,,,
Madhav,M,12,7,86,92,89,,,,,
Sudevi,F,16,10,81,80,87,,,,,
Vidya,F,11,6,88,90,92,,,,,
Visakha,F,16,10,70,87,85,,,,,
Vrinda,F,14,8,91,96,98,,,,,
